Username|Title|Review Text|Rating|Review Date

tevernaugh-764462|I can see why the original writers left|Warning: Spoilers 112 out of 128 found this helpful. Was this review helpful? Sign in to vote. Permalink|5/10|March 2024
poseyfan27|I turned it off and watched the original cartoon instead.|At long last, Netflix's Avatar: The Last Airbender has arrived. And I must say, I didn't necessarily care for it too much. This calls for the classic line: If it ain't broke, don't try to fix it. [...] Overall, I didn't care too much for it.|6/10|February 2024
ramosaral22|Gorgeous effects, failure of characters|First things first, they did a top notch job with visual effects. Bending techniques, the way the elements connect with the bodies of the characters, the places all look wonderful. They bring the world alive. However, that is not what ATLA is about. [...] Here they deliver ling winded, empty, and bland speeches that do not move us.|3/10|February 2024
MissSimonetta|No, it's not that good and don't even compare it to the Netflix One Piece|I'm too exhausted with these pointless live action remakes of animated classics to get angry anymore. This Netflix redo of AVATAR: THE LAST AIRBENDER is at best competent, with handsome production design and costuming. [...] I'd rather just rewatch the old one for the hundredth time.|6/10|February 2024
pollereulogy|Lost Arc of Aang|I understand that adapting a cartoon series scene by scene into a live adaptation is impractical. However, removing the lead character's pivotal arc, which was integral to the essence of the original story, weakens the storytelling. [...] Numerous unnecessary changes detract from the impactful moments, surprising reveals, and character development that made the original series so compelling.|6/10|February 2024
Shiryu05|Now we know why DiMartino and K split...|Warning: Spoilers 466 out of 652 found this helpful. Was this review helpful? Sign in to vote. Permalink|5/10|February 2024
seige-hound|Weak dialogue and rushed pacing compromise an otherwise well-done adaptation|Warning: Spoilers 173 out of 235 found this helpful. Was this review helpful? Sign in to vote. Permalink|6/10|February 2024
bestdesigns|Amazing CGI and Effects, Bad acting and Script|I really loved the animated Series of Avatar, watched it so many times. [...] So its 6/10 for me.|6/10|February 2024
LovecraftKaiju|I usually type long reviews, but I feel empty after watching this...|I usually type my review out long and detailed, but I love the OG show so much and after watching this adaptation I dont feel like bashing this just out of my love for the source material and cus this was bland. [...] Far Better than the movie but that is a low bar to clear.|5/10|February 2024
msmy98|Too rushed and soulless|Warning: Spoilers 164 out of 238 found this helpful. Was this review helpful? Sign in to vote. Permalink|5/10|February 2024
katedodson148|Show it, don't tell it|The visuals are stunning - the effects are more impressive than I hoped. Unfortunately the dialogue leaves very little to the imagination. [...] Kid who plays Zuko absolutely nails it. He couldn't have been cast better.|5/10|February 2024
antonbeukes-7270|Excellent VFx but story and writing is lacking.|Overall i enjoyed the show. The visual FX is a spectacle to watch and is rather nicely executed. [...] The princess character and here entourage annoyed me to no end and the whole writing around her felt extremely forced.|6/10|February 2024
catarinakulborg|I mean... I kind of love it?|The pilot fell a little flat to me, not gonna lie - but episode 2 was pretty awesome. :) It's kind of like they hadn't fully warmed up for episode 1 or something, because the quality rose significantly after that.|8/10|February 2024
halukkocadere|Where is the humour?|As a longtime fan of "Avatar: The Last Airbender," I approached Netflix's adaptation with cautious optimism. Unfortunately, what I found was a series that fell short of capturing the magic and depth of the original.|6/10|February 2024
